MCPV_ID	MCPV_KODAS	MCPV_PAV	pirk_obj_objt_id	kategorija	MCPV_VERSIJA
1	01000000-7	Žemės ūkio, sodininkystės, medžioklės ir kiti produktai	1		1
2	01100000-8	Žemės ūkio augalai, prekinės daržininkystės ir sodininkystės produktai	1		1
3	01110000-1	Javai ir kiti augalai	1		1
4	01111000-8	Javai	1		1
5	01111100-9	Kviečiai	1		1
6	01111110-2	Kietieji kviečiai	1		1
7	01111120-5	Paprastieji kviečiai	1		1
8	01111200-0	Kukurūzai	1		1
9	01111300-1	Ryžiai	1		1
10	01111400-2	Miežiai	1		1
11	01111500-3	Rugiai	1		1
12	01111600-4	Avižos	1		1
13	01111700-5	Salyklas	1		1
14	01111900-7	Grūdų produktai	1		1
15	01112000-5	Bulvės ir džiovintos daržovės	1		1
16	01112100-6	Bulvės	1		1
17	01112200-7	Džiovintos ankštinės daržovės ir ankštiniai augalai	1		1
18	01112210-0	Džiovintos ankštinės daržovės	1		1
19	01112211-7	Lęšiai	1		1
20	01112212-4	Dvispalviai raženiai	1		1
21	01112213-1	Džiovinti žirniai	1		1
22	01112220-3	Ankštiniai augalai	1		1
23	01113000-2	Aliejinių augalų sėklos ir vaisiai	1		1
24	01113100-3	Sojos pupelės	1		1
25	01113200-4	Žemės riešutai	1		1
26	01113300-5	Saulėgrąžų sėklos	1		1
27	01113400-6	Medvilnės sėklos	1		1
28	01113500-7	Sezamų sėklos	1		1
29	01113600-8	Garstyčių sėklos	1		1
30	01114000-9	Neperdirbtas tabakas	1		1
31	01115000-6	Cukrui gaminti naudojami augalai	1		1
32	01115100-7	Cukriniai runkeliai	1		1
33	01115200-8	Cukranendrės	1		1
34	01116000-3	Šiaudai ir kiti pašarai	1		1
35	01116100-4	Šiaudai	1		1
36	01116200-5	Pašarai	1		1
37	01117000-0	Augalinės žaliavos	1		1
38	01117100-1	Tekstilės gaminiams gaminti naudojamos augalinės žaliavos	1		1
39	01117110-4	Medvilnė	1		1
